time,temp_ice,flood
2022-09-26 00:36:00,-3.21399998664856,0
2022-09-26 00:37:00,-3.242617130279541,0
2022-09-26 00:38:00,-3.2916502952575684,0
2022-09-26 00:39:00,-3.2766153812408447,0
2022-09-26 00:40:00,-3.3136231899261475,0
2022-09-26 00:41:00,-3.27649998664856,0
2022-09-26 00:42:00,-3.3393375873565674,0
2022-09-26 00:43:00,-3.312429666519165,0
2022-09-26 00:44:00,-3.29190444946289,0
2022-09-26 00:45:00,-3.32159161567688,0
2022-09-26 00:46:00,-3.2891712188720703,0
2022-09-26 00:47:00,-3.3039474487304688,0
2022-09-26 00:48:00,-3.31850004196167,0
2022-09-26 00:49:00,-3.369104385375977,0
2022-09-26 00:50:00,-3.398833990097046,0
2022-09-26 00:51:00,-3.419512987136841,0
2022-09-26 00:52:00,-3.4134280681610107,0
2022-09-26 00:53:00,-3.3725500106811523,0
2022-09-26 00:54:00,-3.4000320434570312,0
2022-09-26 00:55:00,-3.337005138397217,0
2022-09-26 00:56:00,-3.3769636154174805,0
2022-09-26 00:57:00,-3.4304544925689697,0
2022-09-26 00:58:00,-3.384999990463257,0
2022-09-26 00:59:00,-3.3702869415283203,0
2022-09-26 01:00:00,-3.476207733154297,0
2022-09-26 01:01:00,-3.3908133506774902,0
2022-09-26 01:02:00,-3.365237236022949,0
2022-09-26 01:03:00,-3.473531723022461,0
2022-09-26 01:04:00,-3.4215216636657715,0
2022-09-26 01:05:00,-3.4193739891052246,0
2022-09-26 01:06:00,-3.477769374847412,0
2022-09-26 01:07:00,-3.4415078163146973,0
2022-09-26 01:08:00,-3.495596170425415,0
2022-09-26 01:09:00,-3.5168323516845703,0
2022-09-26 01:10:00,-3.489041566848755,0
2022-09-26 01:11:00,-3.46723747253418,0
2022-09-26 01:12:00,-3.4790961742401123,0
2022-09-26 01:13:00,-3.417664766311645,0
2022-09-26 01:14:00,-3.4885833263397217,0
2022-09-26 01:15:00,-3.385523796081543,0
2022-09-26 01:16:00,-3.50807785987854,0
2022-09-26 01:17:00,-3.534782648086548,0
2022-09-26 01:18:00,-3.5222954750061035,0
2022-09-26 01:19:00,-3.601454734802246,0
2022-09-26 01:20:00,-3.603219509124756,0
2022-09-26 01:21:00,-3.543454647064209,0
2022-09-26 01:22:00,-3.5352704524993896,0
2022-09-26 01:23:00,-3.616565704345703,0
2022-09-26 01:24:00,-3.547797679901123,0
2022-09-26 01:25:00,-3.6733241081237793,0
2022-09-26 01:26:00,-3.5051448345184326,0
2022-09-26 01:27:00,-3.639999866485596,0
2022-09-26 01:28:00,-3.4397618770599365,0
2022-09-26 01:29:00,-3.513441562652588,0
2022-09-26 01:30:00,-3.532759666442871,0
2022-09-26 01:31:00,-3.613636255264282,0
2022-09-26 01:32:00,-3.546428680419922,0
2022-09-26 01:33:00,-3.5638928413391118,0
2022-09-26 01:34:00,-3.481053590774536,0
2022-09-26 01:35:00,-3.497499942779541,0
2022-09-26 01:36:00,-3.516909122467041,0
2022-09-26 01:37:00,-3.615861177444458,0
2022-09-26 01:38:00,-3.63331151008606,0
2022-09-26 01:39:00,-3.520543575286865,0
2022-09-26 01:40:00,-3.595244646072388,0
2022-09-26 01:41:00,-3.643399953842163,0
2022-09-26 01:42:00,-3.639283180236816,0
2022-09-26 01:43:00,-3.631465196609497,0
2022-09-26 01:44:00,-3.658782482147217,0
2022-09-26 01:45:00,-3.735681772232056,0
2022-09-26 01:46:00,-3.6479039192199703,0
2022-09-26 01:47:00,-3.6522159576416016,0
2022-09-26 01:48:00,-3.705840349197388,0
2022-09-26 01:49:00,-3.687537908554077,0
2022-09-26 01:50:00,-3.699023723602295,0
2022-09-26 01:51:00,-3.6559090614318848,0
2022-09-26 01:52:00,-3.760364294052124,0
2022-09-26 01:53:00,-3.6550989151000977,0
2022-09-26 01:54:00,-3.686704397201538,0
2022-09-26 01:55:00,-3.714658975601196,0
2022-09-26 01:56:00,-3.740840435028076,0
2022-09-26 01:57:00,-3.7046823501586914,0
2022-09-26 01:58:00,-3.68155837059021,0
2022-09-26 01:59:00,-3.7754452228546143,0
2022-09-26 02:00:00,-3.770973920822144,0
2022-09-26 02:01:00,-3.782752513885498,0
2022-09-26 02:02:00,-3.734678506851196,0
2022-09-26 02:03:00,-3.778599977493286,0
2022-09-26 02:04:00,-3.7052083015441895,0
2022-09-26 02:05:00,-3.719347715377808,0
2022-09-26 02:06:00,-3.701630353927612,0
2022-09-26 02:07:00,-3.7195987701416016,0
2022-09-26 02:08:00,-3.6496388912200928,0
2022-09-26 02:09:00,-3.765822410583496,0
2022-09-26 02:10:00,-3.654977321624756,0
2022-09-26 02:11:00,-3.6986358165740967,0
2022-09-26 02:12:00,-3.737262010574341,0
2022-09-26 02:13:00,-3.752166748046875,0
2022-09-26 02:14:00,-3.7043750286102295,0
2022-09-26 02:15:00,-3.779984951019287,0
2022-09-26 02:16:00,-3.8428125381469727,0
2022-09-26 02:17:00,-3.806818246841431,0
2022-09-26 02:18:00,-3.838124990463257,0
2022-09-26 02:19:00,-3.8860833644866943,0
2022-09-26 02:20:00,-3.8460326194763184,0
2022-09-26 02:21:00,-3.853668689727783,0
2022-09-26 02:22:00,-3.823764324188232,0
2022-09-26 02:23:00,-3.7933294773101807,0
2022-09-26 02:24:00,-3.8457539081573486,0
2022-09-26 02:25:00,-3.793057918548584,0
2022-09-26 02:26:00,-3.930952310562134,0
2022-09-26 02:27:00,-3.889023780822754,0
2022-09-26 02:28:00,-3.861931800842285,0
2022-09-26 02:29:00,-3.789038419723511,0
2022-09-26 02:30:00,-3.849673271179199,0
2022-09-26 02:31:00,-3.8545563220977774,0
2022-09-26 02:32:00,-3.7935287952423096,0
2022-09-26 02:33:00,-3.906599998474121,0
2022-09-26 02:34:00,-3.761851072311402,0
2022-09-26 02:35:00,-3.950894832611084,0
2022-09-26 02:36:00,-3.872431755065918,0
2022-09-26 02:37:00,-3.905514717102051,0
2022-09-26 02:38:00,-3.877309560775757,0
2022-09-26 02:39:00,-3.811333417892456,0
2022-09-26 02:40:00,-3.8893232345581055,0
2022-09-26 02:41:00,-3.916428565979004,0
2022-09-26 02:42:00,-3.9245893955230713,0
2022-09-26 02:43:00,-3.88735580444336,0
2022-09-26 02:44:00,-3.922361135482788,0
2022-09-26 02:45:00,-3.923106193542481,0
2022-09-26 02:46:00,-3.9785714149475098,0
2022-09-26 02:47:00,-3.881931781768799,0
2022-09-26 02:48:00,-3.925431489944458,0
2022-09-26 02:49:00,-3.9020588397979736,0
2022-09-26 02:50:00,-3.787708282470703,0
2022-09-26 02:51:00,-3.9003422260284415,0
2022-09-26 02:52:00,-3.9683332443237305,0
2022-09-26 02:53:00,-3.905770778656006,0
2022-09-26 02:54:00,-3.9652857780456543,0
2022-09-26 02:55:00,-3.868854284286499,0
2022-09-26 02:56:00,-3.928333282470703,0
2022-09-26 02:57:00,-3.9040000438690186,0
2022-09-26 02:58:00,-3.930727243423462,0
2022-09-26 02:59:00,-3.880666732788086,0
2022-09-26 03:00:00,-3.923414945602417,0
2022-09-26 03:01:00,-3.9135000705718994,0
2022-09-26 03:02:00,-3.894730806350708,0
2022-09-26 03:03:00,-3.860833406448364,0
2022-09-26 03:04:00,-4.013608455657959,0
2022-09-26 03:05:00,-3.929062604904175,0
2022-09-26 03:06:00,-3.9166667461395264,0
2022-09-26 03:07:00,-3.92745590209961,0
2022-09-26 03:08:00,-3.989000082015991,0
2022-09-26 03:09:00,-3.945078849792481,0
2022-09-26 03:10:00,-4.014464378356934,0
