iter	Logloss
0	0.6306417973
1	0.5778268999
2	0.5297043595
3	0.489314207
4	0.4517536261
5	0.4196160938
6	0.3923470279
7	0.3712806585
8	0.3516804727
9	0.3329296798
10	0.3182497921
11	0.3041654977
12	0.2916678959
13	0.2821499583
14	0.2724095746
15	0.263196381
16	0.2552947506
17	0.2488687991
18	0.2428477274
19	0.2373044982
20	0.2321646117
21	0.2287428502
22	0.225078629
23	0.2205819319
24	0.2158198025
25	0.2125036422
26	0.2097142498
27	0.2068424965
28	0.2048133583
29	0.2022539436
30	0.200471457
31	0.197247985
32	0.1950390131
33	0.1931574147
34	0.191426078
35	0.190291131
36	0.1888439356
37	0.1873043517
38	0.1862641411
39	0.1852944761
40	0.1838809901
41	0.1821093301
42	0.1816582677
43	0.1809626074
44	0.1802097037
45	0.1788599915
46	0.177587235
47	0.1766723565
48	0.1756746852
49	0.1750633672
50	0.174459274
51	0.1738918232
52	0.1732911572
53	0.1728841212
54	0.1716975278
55	0.1709715604
56	0.1704551748
57	0.1694968812
58	0.1686009635
59	0.1671416465
60	0.1662880682
61	0.1656483192
62	0.1654457717
63	0.1650221035
64	0.1643699176
65	0.1639969646
66	0.1630169899
67	0.1624556407
68	0.1613462912
69	0.1604332834
70	0.1598494494
71	0.1594241328
72	0.1591256255
73	0.1586297635
74	0.1580630192
75	0.1577322896
76	0.1573544872
77	0.1568367747
78	0.1565459596
79	0.1557894668
80	0.1552213419
81	0.1549037439
82	0.1541811511
83	0.1533592702
84	0.1529316523
85	0.1518432666
86	0.1512586682
87	0.1508624944
88	0.150274663
89	0.1496722347
90	0.1492959513
91	0.1488656056
92	0.1480862035
93	0.1475958775
94	0.147057564
95	0.1462036389
96	0.14511238
97	0.144383768
98	0.1439405455
99	0.1434502789
100	0.142912643
101	0.1422110479
102	0.1415660558
103	0.1409683343
104	0.1402551588
105	0.139883169
106	0.1395640886
107	0.1391616986
108	0.1387380894
109	0.1382745856
110	0.1377094502
111	0.1374559826
112	0.1365062185
113	0.1359133628
114	0.1356055101
115	0.1352036982
116	0.1349262265
117	0.1346351165
118	0.1342585172
119	0.1337244277
120	0.1334701549
121	0.1328559287
122	0.1324290439
123	0.1318908932
124	0.1315020063
125	0.1311353761
126	0.1303906918
127	0.1296598102
128	0.1291034469
129	0.1288843526
130	0.1286573992
131	0.1282883407
132	0.1280210433
133	0.1275270911
134	0.1272607194
135	0.126245228
136	0.1255875973
137	0.1251312348
138	0.1246325301
139	0.1241918433
140	0.1237179323
141	0.1233548999
142	0.1228069666
143	0.1224392725
144	0.1221534611
145	0.1217453838
146	0.1214291367
147	0.1208519239
148	0.1205681916
149	0.1200479865
150	0.1196053344
151	0.1192377485
152	0.1190158558
153	0.1186017282
154	0.1182935098
155	0.1180301514
156	0.1178541476
157	0.1171632236
158	0.1168766798
159	0.1166562813
160	0.1164538285
161	0.1161994585
162	0.1160593557
163	0.1159354046
164	0.1156855872
165	0.11538503
166	0.1145755455
167	0.1142873513
168	0.1140205262
169	0.113763194
170	0.1136235486
171	0.1127742724
172	0.112360641
173	0.1119777324
174	0.1116852739
175	0.1115358167
176	0.1111690841
177	0.1105059853
178	0.1101429699
179	0.1092630495
180	0.1089597083
181	0.1084652479
182	0.108223572
183	0.1079183839
184	0.1076325283
185	0.1071578618
186	0.1068446374
187	0.1065943938
188	0.1059083086
189	0.1052473198
190	0.1050034646
191	0.1047430913
192	0.1043283465
193	0.1040341149
194	0.1038270785
195	0.1037366963
196	0.1034211321
197	0.103092587
198	0.1025249518
199	0.1023418795
200	0.1020523086
201	0.1018385394
202	0.1013563146
203	0.1011348616
204	0.1010054033
205	0.100273942
206	0.09991469305
207	0.09962941406
208	0.09915246032
209	0.09901106206
210	0.09870597045
211	0.09837688397
212	0.09800061195
213	0.0977036276
214	0.09726942618
215	0.09673994217
216	0.09649666876
217	0.09635460836
218	0.09615057928
219	0.0959430455
220	0.09573545911
221	0.0954212929
222	0.09507635811
223	0.09478041822
224	0.09460877114
225	0.09412754494
226	0.0935257411
227	0.09315287517
228	0.09293125095
229	0.09271221911
230	0.0923181169
231	0.0921378201
232	0.09191537148
233	0.09173358545
234	0.09129067863
235	0.09108170225
236	0.09090185155
237	0.09074439168
238	0.09055222335
239	0.09029372775
240	0.09017487722
241	0.08999411404
242	0.08982283091
243	0.0894246831
244	0.08926667675
245	0.08895449511
246	0.08878994836
247	0.0886382378
248	0.08827420407
249	0.08797423386
250	0.08779762159
251	0.08767296323
252	0.08702486506
253	0.08668198007
254	0.08643327446
255	0.08620704599
256	0.08603887378
257	0.0857253452
258	0.0855472845
259	0.08533233823
260	0.08512852788
261	0.08473890296
262	0.08459558247
263	0.08442901023
264	0.08414180502
265	0.08373540989
266	0.0835908093
267	0.08322637699
268	0.08305056882
269	0.08274151591
270	0.08240178936
271	0.08213404466
272	0.08189667473
273	0.08173214482
274	0.08163625774
