iter	Passed	Remaining
421	2306	3159
422	2311	3152
423	2316	3146
424	2323	3143
425	2328	3137
426	2333	3130
427	2339	3126
428	2344	3119
429	2348	3113
430	2355	3109
431	2359	3102
432	2364	3096
433	2370	3091
434	2375	3085
435	2380	3079
436	2385	3073
437	2391	3068
438	2395	3061
439	2400	3055
440	2407	3051
441	2414	3047
442	2420	3043
443	2425	3037
444	2430	3031
445	2436	3026
446	2441	3020
447	2445	3013
448	2451	3008
449	2456	3002
450	2460	2995
451	2466	2989
452	2471	2984
453	2476	2978
454	2481	2972
455	2487	2967
456	2492	2961
457	2496	2954
458	2504	2951
459	2509	2946
460	2515	2941
461	2523	2938
462	2528	2932
463	2534	2928
464	2539	2922
465	2544	2915
466	2551	2911
467	2555	2905
468	2560	2899
469	2567	2894
470	2571	2888
471	2576	2882
472	2581	2876
473	2587	2870
474	2591	2864
475	2596	2858
476	2601	2852
477	2607	2847
478	2611	2840
479	2617	2835
480	2624	2831
481	2630	2827
482	2635	2821
483	2640	2815
484	2645	2808
485	2651	2803
486	2655	2797
487	2660	2791
488	2666	2786
489	2671	2780
490	2676	2774
491	2682	2769
492	2686	2763
493	2691	2756
494	2697	2752
495	2702	2745
496	2707	2739
497	2713	2735
498	2719	2730
499	2725	2725
500	2731	2720
501	2736	2714
502	2741	2708
503	2747	2703
504	2752	2697
505	2756	2691
506	2763	2687
507	2769	2681
508	2773	2675
509	2780	2671
510	2785	2665
511	2790	2659
512	2797	2655
513	2802	2649
514	2809	2645
515	2814	2640
516	2819	2634
517	2824	2628
518	2830	2623
519	2836	2618
520	2842	2613
521	2847	2607
522	2852	2601
523	2857	2595
524	2866	2593
525	2873	2589
526	2879	2584
527	2884	2578
528	2888	2572
529	2895	2567
530	2900	2561
531	2904	2555
532	2910	2550
533	2915	2544
534	2920	2538
535	2925	2532
536	2932	2528
537	2938	2523
538	2944	2518
539	2948	2511
540	2953	2505
541	2959	2501
542	2964	2494
543	2969	2488
544	2976	2485
545	2984	2481
546	2991	2477
547	2997	2472
548	3003	2467
549	3011	2463
550	3017	2459
551	3022	2453
552	3029	2448
553	3035	2443
554	3041	2438
555	3046	2432
556	3052	2427
557	3058	2422
558	3063	2416
559	3067	2410
560	3074	2405
561	3078	2399
562	3083	2393
563	3089	2388
564	3094	2382
565	3098	2376
566	3104	2370
567	3109	2365
568	3114	2358
569	3118	2352
570	3125	2348
571	3131	2343
572	3137	2338
573	3143	2332
574	3148	2326
575	3155	2322
576	3159	2316
577	3165	2310
578	3170	2305
579	3175	2299
580	3180	2293
581	3186	2288
582	3191	2282
583	3196	2276
584	3200	2270
585	3206	2265
586	3210	2259
587	3215	2252
588	3221	2247
589	3225	2241
590	3230	2235
591	3236	2230
592	3242	2225
593	3249	2220
594	3256	2216
595	3262	2211
596	3268	2206
597	3274	2200
598	3279	2195
599	3286	2190
600	3290	2184
601	3295	2178
602	3301	2173
603	3306	2167
